Detection Matrix,SO1,SO2,SO3,SO4,SO5,,Site Covariates,DistV,Post,Bound,PAS,W,C,Prey,,"Substrate
Det Cov",SO1,SO2,SO3,SO4,SO5,,"Effort
Det Cov",SO1,SO2,SO3,SO4,SO5,,,,
102,0,1,0,0,0,,102,19.14,31.44,16.86,0.53,6.76,0.32,0.73,,102,1.125,1.125,1,1.125,1.125,,102,8,8,8,8,8,,,102,1
103,1,1,0,.,.,,103,7.71,45.60,4.49,0.00,28.66,0.29,0.72,,103,1,1.375,1.75,.,.,,103,8,8,8,.,.,,,103,0.790750222
105,1,1,1,1,.,,105,10.16,54.44,5.56,0.00,9.27,0.11,0.68,,105,2.125,2.125,2.375,2.5,.,,105,8,8,8,8,.,,,105,0.890526222
110,0,0,0,1,0,,110,16.28,25.56,8.01,0.86,18.14,0.47,0.85,,110,1.875,1.625,1.875,1.875,1.833333333,,110,8,8,8,8,6,,,110,0.996970667
112,0,0,0,.,.,,112,46.16,45.25,37.16,1.00,18.39,0.28,0.89,,112,2.5,1.5,1.142857143,.,.,,112,8,8,7,.,.,,,112,1
114,0,0,0,0,0,,114,74.50,35.58,66.84,1.00,22.49,0.26,0.91,,114,1.75,1.75,2.375,3,3,,114,8,8,8,8,2,,,114,1
115,0,0,0,0,.,,115,86.29,37.27,80.42,1.00,19.67,0.23,0.90,,115,1.875,1.625,2,2,.,,115,8,8,8,8,.,,,115,1
116,0,0,0,0,0,,116,80.28,31.21,76.50,1.00,12.09,0.16,0.88,,116,2,2.25,2.75,2.125,2.666666667,,116,8,8,8,8,3,,,116,1
117,0,0,0,0,0,,117,66.56,18.02,64.05,1.00,21.41,0.11,0.83,,117,1.25,1.5,1.75,1.875,2,,117,8,8,8,8,8,,,117,1
118,0,0,0,0,0,,118,52.83,11.26,50.03,1.00,7.29,0.21,0.76,,118,2,2,2,1.625,1.8,,118,8,8,8,8,5,,,118,1
121,1,0,0,0,0,,121,22.11,37.35,14.46,0.61,2.29,0.32,0.70,,121,1.125,1.375,2.375,2.25,3,,121,8,8,8,8,4,,,121,0.999996889
122,0,0,0,.,.,,122,23.06,36.30,14.49,0.10,2.50,0.35,0.67,,122,1.125,1.125,2.428571429,.,.,,122,8,8,7,.,.,,,122,1
123,1,1,1,1,1,,123,19.24,40.80,14.29,0.00,8.21,0.11,0.71,,123,2.25,1.625,1.75,1.875,2,,123,8,8,8,8,4,,,123,1
124,0,1,1,1,.,,124,7.39,49.61,6.78,0.00,13.18,0.05,0.71,,124,1,1.5,1.625,1.333333333,.,,124,8,8,8,6,.,,,124,0.954495111
125,1,0,1,.,.,,125,3.71,60.89,4.49,0.00,22.07,0.04,0.38,,125,2,2.625,5,.,.,,125,8,8,8,.,.,,,125,0.197935556
127,1,0,.,.,.,,127,13.72,37.00,3.84,0.00,8.46,0.79,0.58,,127,1.75,2.5,.,.,.,,127,8,8,.,.,.,,,127,0.643584
