HRS_ALL,,,,,,,,,,,,,HRS_PA,,,,,,,,,,,,,HRS_PAS,,,,,,,,,,,,,HRS_NAT,,,,,,,HRS_HUNT,,,,,,,,,,,,,TUS,,,,
Substrate,,,,,,Effort,,,,,,,Substrate,,,,,,Effort,,,,,,,Substrate,,,,,,Effort,,,,,,,Substrate,,,,,,,Substrate,,,,,,Effort,,,,,,,Substrate,,,,
Site,Sub_SO1,Sub_SO2,Sub_SO3,Sub_SO4,,Site,Eff_SO1,Eff_SO2,Eff_SO3,Eff_SO4,,,Site,Sub_SO1,Sub_SO2,Sub_SO3,Sub_SO4,,Site,Eff_SO1,Eff_SO2,Eff_SO3,Eff_SO4,,,Site,Sub_SO1,Sub_SO2,Sub_SO3,Sub_SO4,,Site,Eff_SO1,Eff_SO2,Eff_SO3,Eff_SO4,,,Site,SO1,SO2,SO3,SO4,,,Site,Sub_SO1,Sub_SO2,Sub_SO3,Sub_SO4,,Site,Eff_SO1,Eff_SO2,Eff_SO3,Eff_SO4,,,Site,SO1,SO2,SO3,SO4
83,2.3,2.5,1,1.5,,83,10,10,10,2,,,83,2.3,2.5,1,1.5,,83,10,10,10,2,,,189,1,1.2,1.3,2,,189,10,10,10,4,,,,,,,,,,83,2.3,2.5,1,1.5,,83,10,10,10,2,,,9_03,2,3,3,3
84,1,1,1,1,,84,10,10,10,10,,,84,1,1,1,1,,84,10,10,10,10,,,190,1.6,1.5,1.6,1.5,,190,10,10,10,2,,,,,,,,,,84,1,1,1,1,,84,10,10,10,10,,,9_04,2,3,2,2
85,1,1,NA,NA,,85,10,6,NA,NA,,,85,1,1,NA,NA,,85,10,6,NA,NA,,,191,2,2,2,2,,191,10,10,10,2,,,,,,,,,,85,1,1,NA,NA,,85,10,6,NA,NA,,,9_05,2,3,2,3
91,1.6,1.4,1.8,NA,,91,10,10,4,NA,,,91,1.6,1.4,1.75,NA,,91,10,10,4,NA,,,192,2.2,2.5,2.3,2.2,,192,10,10,10,10,,,,,,,,,,91,1.6,1.4,1.75,NA,,91,10,10,4,NA,,,9_06,2,2,3,3
94,2.1,2,2,NA,,94,10,10,10,NA,,,94,2.1,2,2,NA,,94,10,10,10,NA,,,204,1.6,1.8,2,2,,204,10,10,10,2,,,,,,,,,,94,2.1,2,2,NA,,94,10,10,10,NA,,,9_07,2,3,.,.
96,2.4,2.8,NA,NA,,96,10,5,NA,NA,,,96,2.4,2.8,NA,NA,,96,10,5,NA,NA,,,205,1.7,2,1.8,2.5,,205,10,10,10,2,,,,,,,,,,96,2.4,2.8,NA,NA,,96,10,5,NA,NA,,,9_08,2,2,3,3
97,2.3,2.2,2.1,2.7,,97,10,10,10,10,,,97,2.3,2.2,2.1,2.7,,97,10,10,10,10,,,206,1.3,1.2,1.25,NA,,206,10,10,8,NA,,,,,,,,,,97,2.3,2.2,2.1,2.7,,97,10,10,10,10,,,10_01,1,1,2,1
98,1,1.1,1.3,1.2,,98,10,10,10,6,,,98,1,1.1,1.3,1.166666667,,98,10,10,10,6,,,207,1.5,1.9,2.428571429,NA,,207,10,10,7,NA,,,,,,,,,,98,1,1.1,1.3,1.166666667,,98,10,10,10,6,,,10_02,1,2,.,.
99,1.3,1.5,1.6,2,,99,10,10,10,6,,,99,1.3,1.5,1.6,2,,99,10,10,10,6,,,208,1.2,1,1,1,,208,10,10,10,4,,,,,,,,,,99,1.3,1.5,1.6,2,,99,10,10,10,6,,,10_03,2,2,2,2
100,2.2,1.6,2,2.6,,100,10,10,10,10,,,100,2.2,1.6,2,2.6,,100,10,10,10,10,,,209,2.3,1.5,1.5,2.5,,209,10,10,10,2,,,,,,,,,,100,2.2,1.6,2,2.6,,100,10,10,10,10,,,10_04,3,2,3,3
101,1.4,1.2,1.7,2.3,,101,10,10,10,10,,,101,1.4,1.2,1.7,2.3,,101,10,10,10,10,,,224,1.1,1.2,1.6,2,,224,10,10,10,2,,,,,,,,,,101,1.4,1.2,1.7,2.3,,101,10,10,10,10,,,10_05,3,2,3,3
102,1.1,1.1,1.1,1.1,,102,10,10,10,10,,,102,1.1,1.1,1.1,1.1,,102,10,10,10,10,,,225,2,2.1,4.7,5,,225,10,10,10,2,,,,,,,,,,103,1,1.7,1.5,NA,,103,10,10,4,NA,,,10_06,3,3,3,3
103,1,1.7,1.5,NA,,103,10,10,4,NA,,,103,1,1.7,1.5,NA,,103,10,10,4,NA,,,241,1.7,1.5,1.5,NA,,241,10,10,4,NA,,,,,,,,,,110,1.9,1.6,1.9,1.875,,110,10,10,10,8,,,10_07,2,3,3,3
105,2.2,2.3,2.2,3,,105,10,10,10,2,,,105,2.2,2.3,2.2,3,,105,10,10,10,2,,,242,1,1.7,1.2,1,,242,10,10,10,2,,,,,,,,,,112,2.4,1.3,1,NA,,112,10,10,3,NA,,,10_08,2,3,2,2
110,1.9,1.6,1.9,1.9,,110,10,10,10,8,,,110,1.9,1.6,1.9,1.875,,110,10,10,10,8,,,,,,,,,,,,,,,,,,,,,,,114,1.8,2,2.7,3,,114,10,10,10,4,,,11_01,2,2,3,2
112,2.4,1.3,1,NA,,112,10,10,3,NA,,,112,2.4,1.3,1,NA,,112,10,10,3,NA,,,,,,,,,,,,,,,,,,,,,,,115,1.9,1.7,2,2,,115,10,10,10,2,,,11_02,2,2,2,2
114,1.8,2,2.7,3,,114,10,10,10,4,,,114,1.8,2,2.7,3,,114,10,10,10,4,,,,,,,,,,,,,,,,,,,,,,,116,2,2.6,2.3,2.4,,116,10,10,10,5,,,11_04,2,3,2,2
115,1.9,1.7,2,2,,115,10,10,10,2,,,115,1.9,1.7,2,2,,115,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,117,1.3,1.5,1.9,2,,117,10,10,10,10,,,11_05,2,3,3,2
116,2,2.6,2.3,2.4,,116,10,10,10,5,,,116,2,2.6,2.3,2.4,,116,10,10,10,5,,,,,,,,,,,,,,,,,,,,,,,127,1.8,2.666666667,NA,NA,,127,10,6,NA,NA,,,11_06,3,3,3,3
117,1.3,1.5,1.9,2,,117,10,10,10,10,,,117,1.3,1.5,1.9,2,,117,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,128,2.5,2.4,2.7,2.5,,128,10,10,10,2,,,21_01,2,1,1,1
118,2,2,1.7,1.9,,118,10,10,10,7,,,118,2,2,1.7,1.857142857,,118,10,10,10,7,,,,,,,,,,,,,,,,,,,,,,,129,2.9,3,3,NA,,129,10,10,4,NA,,,21_02,1,1,1,1
121,1.2,2.1,1.6,3.3,,121,10,10,10,6,,,121,1.2,2.1,1.6,3.333333333,,121,10,10,10,6,,,,,,,,,,,,,,,,,,,,,,,130,1.6,1.75,NA,NA,,130,10,4,NA,NA,,,21_03,1,2,.,.
122,1.2,1.4,3,NA,,122,10,10,3,NA,,,122,1.2,1.4,3,NA,,122,10,10,3,NA,,,,,,,,,,,,,,,,,,,,,,,131,1.2,1.4,1,1.333333333,,131,10,10,10,6,,,21_04,2,3,3,2
123,2.2,1.5,1.9,2,,123,10,10,10,6,,,123,2.2,1.5,1.9,2,,123,10,10,10,6,,,,,,,,,,,,,,,,,,,,,,,132,1.1,1.3,1.5,1.8,,132,10,10,10,10,,,21_05,3,3,3,3
124,1,1.8,1.3,NA,,124,10,10,10,NA,,,124,1,1.8,1.3,NA,,124,10,10,10,NA,,,,,,,,,,,,,,,,,,,,,,,134,2.8,2.5,NA,NA,,134,10,8,NA,NA,,,21_06,3,3,3,2
