Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,Hum,AllPrey,Bound,Post
224_06,1,1,1,1,-0.2,-0.51,1.36,0.84,-0.94,0.24,1.14,-0.8,1.03,0.3,-0.78
224_07,0,1,1,0,-0.78,0.43,1.82,1.38,-1.04,0.24,1.36,-0.62,1.36,-0.22,-1.2
224_08,0,0,0,0,-0.82,0.29,1.42,1.07,-0.94,-0.32,1.21,-0.57,0.93,-0.25,-1.07
225_01,1,1,1,1,-0.93,-0.37,2,1.46,-1.57,-0.18,1.84,-0.62,1.36,-0.1,-1.46
225_02,1,0,1,0,-0.92,-0.41,1.88,1.38,-1.47,-0.39,1.8,-0.66,1.25,-0.13,-1.6
225_03,1,1,0,1,-0.98,-0.22,1.94,1.46,-1.36,-0.11,1.73,-0.71,1.36,-0.15,-1.73
225_04,0,1,1,1,-0.92,-0.48,2.11,1.54,-1.26,-0.11,1.69,-0.75,1.47,-0.14,-1.83
225_05,0,1,0,0,-0.61,0.21,1.42,1.15,-0.88,0.24,1.07,-0.88,1.03,-0.12,-1.76
225_06,1,1,1,1,-0.89,-0.55,1.19,1,-1.04,0.31,1.18,-0.84,0.93,-0.1,-1.64
225_07,1,1,1,1,-0.97,-0.99,1.88,1.38,-1.36,0.03,1.69,-0.75,1.36,-0.06,-1.52
225_08,1,0,0,1,-0.37,-1.35,1.48,1.15,-1.42,0.17,1.65,-0.75,1.14,-0.1,-1.5
226_01,0,0,0,0,1.33,0.43,-0.37,-0.31,0.02,0.8,-0.18,0.67,-0.04,-0.56,-0.26
226_02,1,0,0,0,2.23,0.9,-0.26,0.92,-0.35,0.66,-0.25,-0.4,0.17,-0.54,-0.37
226_03,1,0,0,0,1.73,1.12,-0.31,0.84,0.02,0.66,-0.8,-0.53,-0.04,-0.51,-0.46
226_04,0,0,0,0,0.34,0.76,-0.26,0.92,-0.35,0.66,-0.25,-0.49,0.06,-0.49,-0.58
226_05,0,0,0,0,-0.71,0.61,-0.02,0.92,-0.35,0.52,-0.18,-0.49,0.17,-0.52,-0.69
226_06,0,0,0,0,-0.67,0.72,-0.2,0.84,-0.57,0.45,0.12,-0.49,0.17,-0.57,-0.77
226_07,0,1,0,0,-0.35,0.76,-0.37,0.69,-0.46,0.59,-0.07,-0.44,0.06,-0.6,-0.73
226_08,0,0,0,1,-0.69,0.14,-0.43,-0.54,0.12,0.8,-0.14,0.58,-0.04,-0.63,-0.58
227_01,1,1,1,1,-0.77,0.18,-0.08,-0.54,0.23,0.8,-0.1,1.46,0.06,-0.96,0.67
227_02,1,0,0,1,-0.89,-0.62,0.32,-0.39,-0.04,0.8,0.44,1.46,0.39,-0.88,0.58
227_03,1,1,0,0,-0.59,-0.7,-0.26,-0.62,-0.14,0.8,0.52,1.33,0.17,-0.81,0.45
227_04,0,0,0,0,-0.78,0.58,-0.66,-0.85,-0.09,0.8,0.33,1.2,-0.04,-0.76,0.32
227_05,0,0,.,.,-0.25,1.23,-0.83,-0.85,0.33,0.8,-0.43,1.06,-0.37,-0.79,0.22
227_06,0,1,0,0,-0.17,0.9,-0.66,-0.85,0.33,0.8,-0.36,1.06,-0.26,-0.76,0.19
227_07,0,0,0,0,0.51,0.18,-0.83,-1.01,-0.09,0.8,0.26,1.06,-0.15,-0.69,0.21
227_08,0,0,0,0,0.25,0.39,-0.95,-1.16,0.07,0.8,-0.03,1.02,-0.37,-0.66,0.23
